epoch,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,train/epoch,train/loss,train/instance_loss,train/model_iou,train/time_per_iter,val/epoch,val/loss,val/instance_loss,val/model_iou,val/metric_val
28,1734306622,checkpoint_000028,True,False,29,aec84_00000,2024-12-15_23-50-24,218.0531313419342,6293.87947010994,1104,132450dabdc2,172.17.0.4,6293.87947010994,29,28,0.14589896164834498,0.26994825959205626,0.745283203125,1.110042724609375,28,0.140057827308774,40.70330631732941,0.75050537109375,0.25529559177656974
29,1734306835,checkpoint_000029,True,False,30,aec84_00000,2024-12-15_23-53-56,211.8241093158722,6505.703579425812,1104,132450dabdc2,172.17.0.4,6505.703579425812,30,29,0.1341200600937009,0.2945606881380081,0.753896484375,1.0942709159851074,29,0.14001508068293333,43.765152871608734,0.75654052734375,0.2669379198675354
30,1734307051,checkpoint_000030,True,False,31,aec84_00000,2024-12-15_23-57-33,216.45075917243958,6722.154338598251,1104,132450dabdc2,172.17.0.4,6722.154338598251,31,30,0.1480715263262391,0.26475403308868406,0.7467138671875,1.1078867244720458,30,0.16882350791245698,41.28095066547394,0.70935302734375,0.28425525857756523
31,1734307265,checkpoint_000031,True,False,32,aec84_00000,2024-12-16_00-01-06,213.93109726905823,6936.08543586731,1104,132450dabdc2,172.17.0.4,6936.08543586731,32,31,0.12403872279450297,0.2784022724628448,0.7684423828125,1.1017537331581115,31,0.1315594393759966,41.38212686777115,0.76246337890625,0.25120126336812976
32,1734307479,checkpoint_000032,True,False,33,aec84_00000,2024-12-16_00-04-40,213.4982933998108,7149.58372926712,1104,132450dabdc2,172.17.0.4,7149.58372926712,33,32,0.12145184721797704,0.27498413443565367,0.7722900390625,1.1022972249984742,32,0.13413767732679843,40.97733527421951,0.7564599609375,0.251201950137814
33,1734307700,checkpoint_000033,True,False,34,aec84_00000,2024-12-16_00-08-21,220.85225677490234,7370.435986042023,1104,132450dabdc2,172.17.0.4,7370.435986042023,34,33,0.13674990605562926,0.2591515219211578,0.760234375,1.106067292690277,33,0.12851598978042603,40.77167022228241,0.7659521484375,0.24713502682745447
34,1734307925,checkpoint_000034,True,False,35,aec84_00000,2024-12-16_00-12-07,225.76006412506104,7596.196050167084,1104,132450dabdc2,172.17.0.4,7596.196050167084,35,34,0.11941373016685247,0.2810390716791153,0.772734375,1.1075364089012145,34,0.1273009066283703,40.149528086185455,0.76208740234375,0.2444375412538648
35,1734308142,checkpoint_000035,True,False,36,aec84_00000,2024-12-16_00-15-44,216.84529304504395,7813.041343212128,1104,132450dabdc2,172.17.0.4,7813.041343212128,36,35,0.11650734432041646,0.2751820832490921,0.7787353515625,1.1163792085647584,35,0.1266460956633091,42.17235940694809,0.7665185546875,0.251211184548835
36,1734308358,checkpoint_000036,True,False,37,aec84_00000,2024-12-16_00-19-19,215.92298555374146,8028.964328765869,1104,132450dabdc2,172.17.0.4,8028.964328765869,37,36,0.12429834105074405,0.28778636038303373,0.768125,1.1007434153556823,36,0.13917972449213267,39.40014040470123,0.75108642578125,0.2532992875327666
37,1734308564,checkpoint_000037,True,False,38,aec84_00000,2024-12-16_00-22-46,206.17211246490479,8235.136441230774,1104,132450dabdc2,172.17.0.4,8235.136441230774,38,37,0.13120262268930674,0.2591149592399597,0.7682080078125,1.1078913140296935,37,0.14000832423567772,40.21442949771881,0.7582275390625,0.2552180815860628
38,1734308776,checkpoint_000038,True,False,39,aec84_00000,2024-12-16_00-26-17,211.08187627792358,8446.218317508698,1104,132450dabdc2,172.17.0.4,8446.218317508698,39,38,0.13790582731366158,0.2717697149515152,0.757685546875,1.1041114544868469,38,0.13156866177916526,41.95570421218872,0.7844677734375,0.2518165060877801
39,1734308989,checkpoint_000039,True,False,40,aec84_00000,2024-12-16_00-29-51,213.76246571540833,8659.980783224106,1104,132450dabdc2,172.17.0.4,8659.980783224106,40,39,0.15178702019155024,0.25051526486873626,0.73251953125,1.1124757528305054,39,0.1481057184189558,40.40920102596283,0.7468994140625,0.2609289801989993
40,1734309208,checkpoint_000040,True,False,41,aec84_00000,2024-12-16_00-33-33,222.6455647945404,8882.626348018646,1104,132450dabdc2,172.17.0.4,8882.626348018646,41,40,0.14114376813173293,0.2741956037282944,0.75,1.1022677874565125,40,0.14016283992677928,39.87320929765701,0.74939453125,0.2550310901676615
41,1734309421,checkpoint_000041,True,False,42,aec84_00000,2024-12-16_00-37-05,212.04377007484436,9094.67011809349,1104,132450dabdc2,172.17.0.4,9094.67011809349,42,41,0.130663239993155,0.2681183511018753,0.7607275390625,1.1082284545898438,41,0.13401514150202273,41.50627213716507,0.7632861328125,0.25374406865487503
42,1734309644,checkpoint_000042,True,False,43,aec84_00000,2024-12-16_00-40-48,222.3020761013031,9316.972194194794,1104,132450dabdc2,172.17.0.4,9316.972194194794,43,42,0.13265818567946552,0.2621786940097809,0.759619140625,1.1050196504592895,42,0.1293230752646923,41.32483834028244,0.75224853515625,0.24943521094818905
43,1734309857,checkpoint_000043,True,False,44,aec84_00000,2024-12-16_00-44-21,213.31438779830933,9530.286581993103,1104,132450dabdc2,172.17.0.4,9530.286581993103,44,43,0.13248170852661134,0.269578355550766,0.75900390625,1.0993256664276123,43,0.13614873591810464,40.075813949108124,0.753291015625,0.25223344101260103
44,1734310065,checkpoint_000044,True,False,45,aec84_00000,2024-12-16_00-47-49,207.6996726989746,9737.986254692078,1104,132450dabdc2,172.17.0.4,9737.986254692078,45,44,0.11565905425697565,0.26615346372127535,0.7837548828125,1.1024840807914733,44,0.1334484586492181,40.4885630607605,0.7651416015625,0.24855965189635756
45,1734310282,checkpoint_000045,True,False,46,aec84_00000,2024-12-16_00-51-24,214.86920166015625,9952.855456352234,1104,132450dabdc2,172.17.0.4,9952.855456352234,46,45,0.11643973084166646,0.2747050911188126,0.7804833984375,1.1027286434173584,45,0.14053064819425345,41.338921785354614,0.76365966796875,0.25779955810556815
46,1734310492,checkpoint_000046,True,False,47,aec84_00000,2024-12-16_00-54-54,209.9664306640625,10162.821887016296,1104,132450dabdc2,172.17.0.4,10162.821887016296,47,46,0.1194389634206891,0.27248178601264955,0.779443359375,1.098165261745453,46,0.14497984658926724,39.49531865119934,0.75844482421875,0.2547138194615642
47,1734310708,checkpoint_000047,True,False,48,aec84_00000,2024-12-16_00-58-30,216.46069860458374,10379.28258562088,1104,132450dabdc2,172.17.0.4,10379.28258562088,48,47,0.12972333803772926,0.24782292902469635,0.7685986328125,1.1103286123275757,47,0.13190122630447149,40.71197551488876,0.7643408203125,0.2485910433530808
48,1734310937,checkpoint_000048,True,False,49,aec84_00000,2024-12-16_01-02-18,228.02323079109192,10607.305816411972,1104,132450dabdc2,172.17.0.4,10607.305816411972,49,48,0.12106017634272576,0.27561466276645663,0.768583984375,1.1000122117996216,48,0.13030771527439355,39.71371817588806,0.76047119140625,0.24273704876502353
49,1734311148,checkpoint_000049,True,False,50,aec84_00000,2024-12-16_01-05-49,211.0230848789215,10818.328901290894,1104,132450dabdc2,172.17.0.4,10818.328901290894,50,49,0.13072195786982774,0.2839397817850113,0.76197265625,1.093897714614868,49,0.13367138750851154,40.23991537094116,0.77015869140625,0.24887622104336818
50,1734311374,checkpoint_000050,True,False,51,aec84_00000,2024-12-16_01-09-49,239.9562747478485,11058.285176038742,1104,132450dabdc2,172.17.0.4,11058.285176038742,51,50,0.13747608404606582,0.2730882966518402,0.7605517578125,1.1006173396110535,50,0.13649455025792123,37.38884961605072,0.7746630859375,0.2412757637724281
51,1734311615,checkpoint_000051,True,False,52,aec84_00000,2024-12-16_01-13-45,235.16485905647278,11293.450035095215,1104,132450dabdc2,172.17.0.4,11293.450035095215,52,51,0.125953351277858,0.24494471788406372,0.764130859375,1.1393041896820069,51,0.11964130997657776,41.351541578769684,0.776220703125,0.23959662086019923
52,1734311840,checkpoint_000052,True,False,53,aec84_00000,2024-12-16_01-17-22,217.7997601032257,11511.24979519844,1104,132450dabdc2,172.17.0.4,11511.24979519844,53,52,0.11950374709442257,0.23823697090148926,0.77814453125,1.1341600108146668,52,0.13176476161926984,39.34368473291397,0.77826171875,0.24271020961304493
53,1734312071,checkpoint_000053,True,False,54,aec84_00000,2024-12-16_01-21-13,230.0959713459015,11741.345766544342,1104,132450dabdc2,172.17.0.4,11741.345766544342,54,53,0.12878469590097666,0.24628701388835908,0.7679931640625,1.1315528297424315,53,0.1227349729463458,40.601876974105835,0.7820068359375,0.23887165596087775
54,1734312289,checkpoint_000054,True,False,55,aec84_00000,2024-12-16_01-24-51,218.0512421131134,11959.397008657455,1104,132450dabdc2,172.17.0.4,11959.397008657455,55,54,0.12648683017119766,0.26868751645088196,0.7708349609375,1.116028962135315,54,0.12387831714004278,39.794732213020325,0.78245849609375,0.2407064673925439
55,1734312500,checkpoint_000055,True,False,56,aec84_00000,2024-12-16_01-28-21,210.78851747512817,12170.185526132584,1104,132450dabdc2,172.17.0.4,12170.185526132584,56,55,0.11373099783435464,0.25842205286026,0.7782080078125,1.1061684107780456,55,0.13222244020551444,40.508038341999054,0.76059814453125,0.24856446957836545
56,1734312712,checkpoint_000056,True,False,57,aec84_00000,2024-12-16_01-31-54,212.30961060523987,12382.495136737823,1104,132450dabdc2,172.17.0.4,12382.495136737823,57,56,0.11209933869540692,0.2746365648508072,0.7932470703125,1.1000898456573487,56,0.12374989848583937,40.064850211143494,0.776875,0.2423988852649927
57,1734312944,checkpoint_000057,True,False,58,aec84_00000,2024-12-16_01-35-45,231.50499963760376,12614.000136375427,1104,132450dabdc2,172.17.0.4,12614.000136375427,58,57,0.1074153340421617,0.28318889677524567,0.7948681640625,1.1025418734550476,57,0.11820760298520326,37.23137974739075,0.79312255859375,0.22677859252939625
58,1734313158,checkpoint_000058,True,False,59,aec84_00000,2024-12-16_01-39-22,216.96768260002136,12830.967818975449,1104,132450dabdc2,172.17.0.4,12830.967818975449,59,58,0.11311943713575602,0.2861473214626312,0.785478515625,1.105439577102661,58,0.13256009344011546,37.576680064201355,0.81142578125,0.2360147140547633
59,1734313378,checkpoint_000059,True,False,60,aec84_00000,2024-12-16_01-43-00,217.31013202667236,13048.277951002121,1104,132450dabdc2,172.17.0.4,13048.277951002121,60,59,0.1182051045447588,0.259786496758461,0.7831298828125,1.1119585633277893,59,0.12903348047286273,37.216740906238556,0.761669921875,0.235450357546409
60,1734313600,checkpoint_000060,True,False,61,aec84_00000,2024-12-16_01-46-41,221.84097290039062,13270.118923902512,1104,132450dabdc2,172.17.0.4,13270.118923902512,61,60,0.13160567432641984,0.25284123957157134,0.7573974609375,1.147390513420105,60,0.13078833594918252,38.51832765340805,0.788623046875,0.2402625298500061
61,1734313811,checkpoint_000061,True,False,62,aec84_00000,2024-12-16_01-50-13,211.2763237953186,13481.39524769783,1104,132450dabdc2,172.17.0.4,13481.39524769783,62,61,0.12276962377130986,0.26855324864387514,0.781123046875,1.1119150805473328,61,0.12960100762546062,39.281894505023956,0.77972412109375,0.24304291268189737
62,1734314032,checkpoint_000062,True,False,63,aec84_00000,2024-12-16_01-53-53,220.14280152320862,13701.538049221039,1104,132450dabdc2,172.17.0.4,13701.538049221039,63,62,0.1307017187215388,0.2882593834400177,0.7626953125,1.0885873794555665,62,0.12585479132831096,38.36209225654602,0.75487548828125,0.23432600816090904
63,1734314243,checkpoint_000063,True,False,64,aec84_00000,2024-12-16_01-57-29,216.19958186149597,13917.737631082535,1104,132450dabdc2,172.17.0.4,13917.737631082535,64,63,0.1052780711837113,0.25325853645801544,0.79117919921875,1.0928293085098266,63,0.13745818581432104,37.873983681201935,0.78149658203125,0.24554085732748118
64,1734314466,checkpoint_000064,True,False,65,aec84_00000,2024-12-16_02-01-24,234.95266890525818,14152.690299987793,1104,132450dabdc2,172.17.0.4,14152.690299987793,65,64,0.11443380294367671,0.24482719719409943,0.7907421875,1.1172113990783692,64,0.14916555266827344,38.16201341152191,0.7612646484375,0.2548009991024931
65,1734314715,checkpoint_000065,True,False,66,aec84_00000,2024-12-16_02-05-17,232.41090869903564,14385.101208686829,1104,132450dabdc2,172.17.0.4,14385.101208686829,66,65,0.12035994116216898,0.25404023051261904,0.7838525390625,1.1299973011016846,65,0.1181165549531579,37.265324771404266,0.7861181640625,0.22559148337692034
66,1734314928,checkpoint_000066,True,False,67,aec84_00000,2024-12-16_02-08-50,212.9822895526886,14598.083498239517,1104,132450dabdc2,172.17.0.4,14598.083498239517,67,66,0.12237933108583093,0.27134126007556914,0.771904296875,1.1198743438720704,66,0.13723648518323897,40.27768272161484,0.755302734375,0.2524928078303734
67,1734315148,checkpoint_000067,True,False,68,aec84_00000,2024-12-16_02-12-30,219.8787820339203,14817.962280273438,1104,132450dabdc2,172.17.0.4,14817.962280273438,68,67,0.11985975496470928,0.2553702259063721,0.7677392578125,1.1259015417098999,67,0.13442447893321513,38.91657853126526,0.74954833984375,0.24417883870502316
68,1734315369,checkpoint_000068,True,False,69,aec84_00000,2024-12-16_02-16-14,223.96991086006165,15041.9321911335,1104,132450dabdc2,172.17.0.4,15041.9321911335,69,68,0.12645120322704315,0.252038431763649,0.7674609375,1.1453474807739257,68,0.12616282150149347,37.96140789985657,0.7496875,0.2365723767317832
69,1734315591,checkpoint_000069,True,False,70,aec84_00000,2024-12-16_02-19-52,218.7778172492981,15260.710008382797,1104,132450dabdc2,172.17.0.4,15260.710008382797,70,69,0.10558409631252288,0.25901215851306914,0.79169921875,1.109225344657898,69,0.14540736690163614,38.73855060338974,0.744462890625,0.253997405692935
70,1734315804,checkpoint_000070,True,False,71,aec84_00000,2024-12-16_02-23-25,212.48113918304443,15473.191147565842,1104,132450dabdc2,172.17.0.4,15473.191147565842,71,70,0.11443583890795708,0.25239005327224734,0.7790576171875,1.1265040063858032,70,0.12545234467834235,40.394605576992035,0.77623291015625,0.24449704705427094
71,1734316016,checkpoint_000071,True,False,72,aec84_00000,2024-12-16_02-27-01,216.0522358417511,15689.243383407593,1104,132450dabdc2,172.17.0.4,15689.243383407593,72,71,0.1151362830400467,0.2551594877243042,0.78142578125,1.1264011931419373,71,0.12430242344737052,40.15653592348099,0.77851806640625,0.24044992367426554
72,1734316236,checkpoint_000072,True,False,73,aec84_00000,2024-12-16_02-30-57,235.71009469032288,15924.953478097916,1104,132450dabdc2,172.17.0.4,15924.953478097916,73,72,0.1065309801325202,0.2539070349931717,0.7952783203125,1.132270996570587,72,0.135487914532423,39.56478714942932,0.77177490234375,0.24764631463835637
73,1734316477,checkpoint_000073,True,False,74,aec84_00000,2024-12-16_02-34-39,222.50710821151733,16147.460586309433,1104,132450dabdc2,172.17.0.4,16147.460586309433,74,73,0.11442287929356099,0.24228709697723388,0.7804150390625,1.1229338979721069,73,0.1329122293740511,39.776878356933594,0.74718505859375,0.24785186237345133
74,1734316696,checkpoint_000074,True,False,75,aec84_00000,2024-12-16_02-38-18,218.80968976020813,16366.270276069641,1104,132450dabdc2,172.17.0.4,16366.270276069641,75,74,0.11027163229882717,0.25560403883457183,0.7946435546875,1.1070865893363953,74,0.12376955799758434,39.535854518413544,0.76480224609375,0.2397383986661832
75,1734316916,checkpoint_000075,True,False,76,aec84_00000,2024-12-16_02-41-59,220.32534337043762,16586.59561944008,1104,132450dabdc2,172.17.0.4,16586.59561944008,76,75,0.12497676748782396,0.27391065895557404,0.7700146484375,1.127175760269165,75,0.11705715343356132,37.63335448503494,0.7850439453125,0.22673915286858862
76,1734317131,checkpoint_000076,True,False,77,aec84_00000,2024-12-16_02-45-36,217.22074484825134,16803.81636428833,1104,132450dabdc2,172.17.0.4,16803.81636428833,77,76,0.1292518001422286,0.2506071901321411,0.764619140625,1.1216741943359374,76,0.12757860485464334,39.51895731687546,0.7351513671875,0.241630793834726
77,1734317353,checkpoint_000077,True,False,78,aec84_00000,2024-12-16_02-49-18,221.9031801223755,17025.719544410706,1104,132450dabdc2,172.17.0.4,17025.719544410706,78,77,0.123801612816751,0.2655507487058639,0.7667529296875,1.1191575503349305,77,0.13402063220739366,37.143398225307465,0.7761181640625,0.23802455281217905
78,1734317578,checkpoint_000078,True,False,79,aec84_00000,2024-12-16_02-52-59,221.6444959640503,17247.364040374756,1104,132450dabdc2,172.17.0.4,17247.364040374756,79,78,0.1162755094282329,0.2424429577589035,0.7784912109375,1.1353450584411622,78,0.12677594643086196,39.8351674079895,0.76586181640625,0.24257741628835602
79,1734317797,checkpoint_000079,True,False,80,aec84_00000,2024-12-16_02-56-38,218.94518876075745,17466.309229135513,1104,132450dabdc2,172.17.0.4,17466.309229135513,80,79,0.11716229122132063,0.24869513034820556,0.783173828125,1.1216026902198792,79,0.11916358709335327,38.88869673013687,0.76822021484375,0.2322606335952878
80,1734318013,checkpoint_000080,True,False,81,aec84_00000,2024-12-16_03-00-14,216.0710723400116,17682.380301475525,1104,132450dabdc2,172.17.0.4,17682.380301475525,81,80,0.11646373242139817,0.2586768716573715,0.7810205078125,1.1187676095962524,80,0.1299152048304677,38.08881485462189,0.77603759765625,0.24087475342055167
81,1734318234,checkpoint_000081,True,False,82,aec84_00000,2024-12-16_03-03-55,220.52163338661194,17902.901934862137,1104,132450dabdc2,172.17.0.4,17902.901934862137,82,81,0.10659621292725205,0.2627812242507935,0.79642578125,1.1502964115142822,81,0.12427486661821603,37.095075368881226,0.76691162109375,0.23279355460157006
82,1734318445,checkpoint_000082,True,False,83,aec84_00000,2024-12-16_03-07-27,211.5915195941925,18114.49345445633,1104,132450dabdc2,172.17.0.4,18114.49345445633,83,82,0.1077409229800105,0.2420067620277405,0.7927197265625,1.1125299072265624,82,0.12577379811555148,35.84814351797104,0.77656982421875,0.22960998721420764
83,1734318659,checkpoint_000083,True,False,84,aec84_00000,2024-12-16_03-11-00,213.84603190422058,18328.33948636055,1104,132450dabdc2,172.17.0.4,18328.33948636055,84,83,0.10668562781065702,0.25585040628910066,0.7944775390625,1.1213519740104676,83,0.12033329654484987,40.29684978723526,0.77727783203125,0.2394798836732904
84,1734318880,checkpoint_000084,True,False,85,aec84_00000,2024-12-16_03-14-43,222.59638786315918,18550.93587422371,1104,132450dabdc2,172.17.0.4,18550.93587422371,85,84,0.12169568063691258,0.2415691602230072,0.7728076171875,1.1258247661590577,84,0.12167550258338451,38.77679622173309,0.7981787109375,0.23206498205661774
85,1734319100,checkpoint_000085,True,False,86,aec84_00000,2024-12-16_03-18-21,217.76440834999084,18768.7002825737,1104,132450dabdc2,172.17.0.4,18768.7002825737,86,85,0.13602345796301962,0.24942378342151642,0.7605908203125,1.1129909539222718,85,0.1297252898477018,39.243655264377594,0.7481640625,0.2441588692553342
